"Име на продукт",Наличност,"Стара цена",Цена,Стойност
"Слушалка за радиостанция Baofeng UV82",2,7.15,7.15,14.3
"Джоб за пълнител AK (Multicam)",3,8.13,8.13,24.39
"Ергономична предна дръжка (Черна)",9,9.15,9.15,82.35
"Ергономична предна дръжка (Dark Earth)",3,9.15,9.15,27.45
"Каска за Еърсофт - MICH 2000 (Coyote)",3,20.40,20.40,61.2
"Дръжка MLock (Black)",2,10.17,10.17,20.34
"Дръжка MLock (Dark Earth)",2,10.17,10.17,20.34
"Монтаж с релса &quot;Picatinny&quot;  под 45°/ 4 слота",3,12.22,12.22,36.66
"ST92F  Vertec, Non-Blowback /STTi/",0,49.03,49.03,0
"Пълнител за ST92F Green gas (Black)",0,22.96,22.96,0
"CM.515 -Тan/CYMA/",0,163.56,163.56,0
"CM.091 - Metal/CYMA/","не се следи",269.90,269.90,"не се следи"
"Чантичка за пълнители (Green)",2,11.71,11.71,23.42
"Чантичка за пълнители (Coyote)",2,11.71,11.71,23.42
"Чантичка за пълнители (Multicam Tropic)",1,11.71,11.71,11.71
"Чантичка за пълнители (Multicam)",4,11.71,11.71,46.84
"Чантичка за пълнители (Black)",1,11.71,11.71,11.71
"CM.622 MOSFET EDITION /CYMA/",0,184.01,184.01,0
"Пач &quot;Българско знаме&quot;",7,2.55,2.55,17.85
"CM.623 MOSFET EDITION /CYMA/",0,189.13,189.13,0
"CM.619 /CYMA/",0,214.69,214.69,0
"Лека тактическа жилетка (Black)",2,25.51,25.51,51.02
"Панел Molle (Green)",2,7.62,7.62,15.24
"Панел Molle (Coyote)",2,7.62,7.62,15.24
"Панел Molle (Multicam)",2,7.62,7.62,15.24
"Панел Molle (Black)",2,7.62,7.62,15.24
"Пълнител за M4/AR15 Mid-Cap 150 (Dark Earth)",12,11.71,11.71,140.52
"Пластмасов тренировъчен нож (Черен)",3,10.17,10.17,30.51
"Пластмасов тренировъчен щик (Черен)",2,12.73,10.17,20.34
"Платформа за MOLLE",0,10.17,10.17,0
"Преходник Small Tamiya към Big Tamiya",0,1.53,1.53,0
"M1911 GLADIATOR MARCUX /APS/",0,130.37,130.37,0
"Преходник към 11 мм",3,10.17,10.17,30.51
"Тактически очила Venture 3 Anti-fog Yellow",0,12.73,12.73,0
"Батерия Li-Po 7,4 V 1450MAH (IPower)",1,21.93,21.93,21.93
"Лека тактическа жилетка (Multicam Black)",2,25.51,25.51,51.02
"Двоен джоб за АК47/АКМ (Green)",2,10.69,10.69,21.38
"Спийдлоудър 400 топчета /Зелен/",0,9.15,9.15,0
"Green gas WE 2X - 800мл",0,13.24,11.20,0
"Био Топчета Specna Arms CORE™ 0.25г BIO - 3000 броя ",3,12.73,12.73,38.19
"Пач  &quot;WTF&quot;",2,2.55,2.55,5.1
"Пач  &quot;I LOVE AK&quot;",4,2.55,2.55,10.2
"Комплект Наколенки и Налакътници (Multicam)",2,17.84,17.84,35.68
"Комплект Наколенки и Налакътници (Green)",2,17.84,17.84,35.68
"Преходник T-Connector  към Small Tamiya",3,5.11,5.11,15.33
"Джоб за пълнител 5.56 (Coyote)",3,7.62,7.62,22.86
"Пълнител за M4 Mid-Cap 150 (Tan)",0,11.20,11.20,0
"Повдигач 1 &quot; с два болта/ 8 слота",0,11.71,11.71,0
"Тактически едноточков &quot;bungee&quot; ремък (Green)",4,9.66,9.66,38.64
"Тактически едноточков &quot;bungee&quot; ремък (Black)",3,9.66,9.66,28.98
"Чантичка за Еърсофт пистолет (Black)",0,7.62,7.62,0
"Двоен джоб за пълнители за пистолет (Multicam Black)",3,9.66,9.66,28.98
"Паракорд с метален карабинер (Black)",6,3.06,3.06,18.36
"Паракорд с метален карабинер (Green)",3,3.06,3.06,9.18
"Паракорд с метален карабинер (Coffee)",0,3.06,3.06,0
"Паракорд с метален карабинер (Camo)",7,3.06,3.06,21.42
"Паракорд с метален карабинер (Orange)",5,3.06,3.06,15.3
"Антена за радиостанция",2,12.77,12.77,25.54
"Каска за Еърсофт - Special Force Tactical (Black )",2,33.18,33.18,66.36
"Еърсофт очила PANORAMIC- Clear (Black)",9,12.22,12.22,109.98
"Еърсофт очила PANORAMIC - Clear (Tan)",8,12.22,12.22,97.76
"Еърсофт очила PANORAMIC -Clear (Green)",8,12.22,12.22,97.76
"Комплект радиостанции Baofeng 888S  - 2 броя","не се следи",33.18,33.18,"не се следи"
"Радиостанция Baofeng UV-9R  Plus 15W","не се следи",43.41,43.41,"не се следи"
"Зарядно IMAX B3 20W за LiPo Батерии",4,15.29,15.29,61.16
"Слушалка за радиостанция Baofeng UV9R ",3,9.20,9.20,27.6
"Преходник за слушалка за радиостанция Baofeng UV9R",1,6.13,6.13,6.13
"Подложки за каска",2,12.22,12.22,24.44
"Пластмасов тренировъчен нож (Dark Earth)",2,10.17,10.17,20.34
"Пластмасов тренировъчен щик (Dark Earth)",2,12.73,10.17,20.34
"Шапка с козирка (Jungle Python)",1,7.62,7.62,7.62
"Tактическа жилетка (Multicam Tropic)",2,58.75,58.75,117.5
"Tактическа жилетка (Multicam)",1,58.75,58.75,58.75
